title,link,date,category,Agency
"Pharmacist and Brother Convicted of $15M Medicare, Medicaid, and Private Insurer Fraud Scheme",https://oig.hhs.gov/fraud/enforcement/pharmacist-and-brother-convicted-of-15m-medicare-medicaid-and-private-insurer-fraud-scheme/,"November 8, 2024",Criminal and Civil Actions,U.S. Department of Justice
Boise Nurse Practitioner Sentenced To 48 Months For Conspiracy To Distribute Controlled Substances,https://oig.hhs.gov/fraud/enforcement/boise-nurse-practitioner-sentenced-to-48-months-for-conspiracy-to-distribute-controlled-substances/,"November 7, 2024",Criminal and Civil Actions,"November 7, 2024; U.S. Attorney's Office, District of Idaho"
Former Traveling Nurse Pleads Guilty To Tampering With Morphine,https://oig.hhs.gov/fraud/enforcement/former-traveling-nurse-pleads-guilty-to-tampering-with-morphine/,"November 7, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Massachusetts"
Former Arlington Resident Sentenced To Prison For Disclosing Healthcare Records And Trying To Cover Up His Crimes,https://oig.hhs.gov/fraud/enforcement/former-arlington-resident-sentenced-to-prison-for-disclosing-healthcare-records-and-trying-to-cover-up-his-crimes/,"November 7, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of Virginia"
Paroled Felon Sentenced To Six Years For Fraudulent Use Of Social Security Number And Theft Of Benefits,https://oig.hhs.gov/fraud/enforcement/paroled-felon-sentenced-to-six-years-for-fraudulent-use-of-social-security-number-and-theft-of-benefits/,"November 7, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Middle District of Florida"
Former Licensed Counselor Sentenced For Defrauding Medicaid,https://oig.hhs.gov/fraud/enforcement/former-licensed-counselor-sentenced-for-defrauding-medicaid/,"November 6, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Western District of Texas"
"Macomb County Doctor And Pharmacist Agree To Pay $700,948 To Settle False Claims Act Allegations",https://oig.hhs.gov/fraud/enforcement/macomb-county-doctor-and-pharmacist-agree-to-pay-700948-to-settle-false-claims-act-allegations/,"November 4, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of Michigan"
"Rocky Hill Pharmacy And Its Owners Indicted For Conspiring To Submit False Pharmacy Claims, Making False Statements, And Aggravated Identity Theft",https://oig.hhs.gov/fraud/enforcement/rocky-hill-pharmacy-and-its-owners-indicted-for-conspiring-to-submit-false-pharmacy-claims-making-false-statements-and-aggravated-identity-theft/,"November 4, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of Tennessee"
"North Texas Medical Center Pays $14.2 Million To Resolve Potential False Claims Act Liability For Self-Reported Violations Of Medicare Regs, Stark Law",https://oig.hhs.gov/fraud/enforcement/north-texas-medical-center-pays-142-million-to-resolve-potential-false-claims-act-liability-for-self-reported-violations-of-medicare-regs-stark-law/,"November 4, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Texas"
New England Doctor Pleads Guilty To Drug Distribution Conspiracy,https://oig.hhs.gov/fraud/enforcement/new-england-doctor-pleads-guilty-to-drug-distribution-conspiracy/,"November 4, 2024",Criminal and Civil Actions,U.S. Department of Justice
Attorney General Alan Wilson Announces Upstate Woman Charged With Stealing Thousands Of Dollars From Vulnerable Adult,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-upstate-woman-charged-with-stealing-thousands-of-dollars-from-vulnerable-adult/,"November 4, 2024",State Enforcement Agencies,State of South Carolina
St. Louis County Woman Accused Of $3 Million Home Health Care Fraud,https://oig.hhs.gov/fraud/enforcement/st-louis-county-woman-accused-of-3-million-home-health-care-fraud/,"November 1, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of Missouri"
Lab Owner And Marketing Company Owner Both Found Guilty In Multi-Million Dollar Medicare And Medicaid Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/lab-owner-and-marketing-company-owner-both-found-guilty-in-multi-million-dollar-medicare-and-medicaid-fraud-scheme/,"November 1, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Middle District of Tennessee"
"Compound Ingredient Supplier Medisca Inc., To Pay $21.75M To Resolve Allegations Of False And Inflated Average Wholesale Prices For Ingredients Used In Compounded Prescriptions",https://oig.hhs.gov/fraud/enforcement/compound-ingredient-supplier-medisca-inc-to-pay-2175m-to-resolve-allegations-of-false-and-inflated-average-wholesale-prices-for-ingredients-used-in-compounded-prescriptions/,"November 1, 2024",Criminal and Civil Actions,U.S. Department of Justice
